scope,dimension,feature,rows,unsafe,orientation,orientation_free_auc,oriented_average_precision,raw_auc
pooled,,zeta34,48,5,higher-is-unsafe,0.7674418604651163,0.24385706914344685,0.7674418604651163
dimension,96.0,zeta34,25,1,higher-is-unsafe,1.0,1.0,1.0
dimension,256.0,zeta34,23,4,higher-is-unsafe,0.7105263157894737,0.2992424242424242,0.7105263157894737
pooled,,relative_drift,48,5,higher-is-unsafe,0.5767441860465116,0.273632538569425,0.5767441860465116
dimension,96.0,relative_drift,25,1,higher-is-unsafe,0.9166666666666666,0.3333333333333333,0.9166666666666666
dimension,256.0,relative_drift,23,4,higher-is-unsafe,0.5394736842105263,0.40795454545454546,0.5394736842105263
pooled,,zeta23,48,5,higher-is-unsafe,0.7627906976744185,0.24134199134199133,0.7627906976744185
dimension,96.0,zeta23,25,1,higher-is-unsafe,1.0,1.0,1.0
dimension,256.0,zeta23,23,4,higher-is-unsafe,0.7105263157894738,0.29851190476190476,0.7105263157894738
pooled,,stage_log_curvature_kappa234,48,5,higher-is-unsafe,0.6651162790697676,0.36303030303030304,0.6651162790697676
dimension,96.0,stage_log_curvature_kappa234,25,1,higher-is-unsafe,0.7916666666666666,0.16666666666666666,0.7916666666666666
dimension,256.0,stage_log_curvature_kappa234,23,4,higher-is-unsafe,0.6842105263157895,0.5163690476190477,0.6842105263157895
pooled,,remainder_chi34,48,5,higher-is-unsafe,0.6093023255813954,0.3894346757421063,0.6093023255813954
dimension,96.0,remainder_chi34,25,1,lower-is-unsafe,0.9166666666666666,0.3333333333333333,0.08333333333333337
dimension,256.0,remainder_chi34,23,4,higher-is-unsafe,0.75,0.6166666666666667,0.75
